"Time (s)","Sound pressure level (dB)"
1.018410000E2,5.574288130E1
1.021370000E2,5.927571979E1
1.024000000E2,5.789956910E1
1.026980000E2,6.081738139E1
1.029540000E2,5.575615853E1
1.032580000E2,5.337382111E1
1.035140000E2,5.562761746E1
1.038150000E2,5.905624776E1
1.041040000E2,5.696105750E1
1.043990000E2,6.170938149E1
1.046370000E2,5.823687000E1
1.049080000E2,6.066674703E1
1.051740000E2,6.220969933E1
1.054810000E2,5.755805236E1
1.057660000E2,5.735691579E1
1.060450000E2,5.761618087E1
1.063040000E2,5.188413372E1
1.065680000E2,5.643639822E1
1.068740000E2,5.312430876E1
1.071280000E2,5.924995828E1
1.073900000E2,5.546187342E1
1.076920000E2,5.474389270E1
1.079790000E2,5.600814816E1
1.082440000E2,5.561453096E1
1.084980000E2,5.408559240E1
1.087580000E2,5.622058302E1
1.090160000E2,5.768852773E1
1.092670000E2,5.516804842E1
1.095340000E2,5.973626648E1
1.098120000E2,6.403409511E1
1.100690000E2,6.035201036E1
1.103490000E2,5.940482770E1
1.105950000E2,5.932126109E1
1.108600000E2,5.859387697E1
1.111460000E2,5.929800416E1
1.114110000E2,5.930503134E1
1.117890000E2,6.170536210E1
1.120410000E2,6.214563711E1
1.123490000E2,5.810151097E1
1.126320000E2,5.823719807E1
1.128910000E2,6.454485320E1
1.131870000E2,6.755031626E1
1.134560000E2,6.410743881E1
1.137200000E2,5.913442857E1
1.139870000E2,6.382823805E1
1.142400000E2,5.859239523E1
1.145180000E2,5.135859796E1
1.147890000E2,5.294563188E1
1.151440000E2,5.357868048E1
1.154220000E2,5.561359505E1
1.156620000E2,5.645675088E1
1.159670000E2,5.879425595E1
1.162610000E2,5.918610512E1
1.164990000E2,6.083658676E1
1.167470000E2,5.526645697E1
1.169880000E2,5.471312988E1
1.172910000E2,6.211796732E1
1.175510000E2,5.417468648E1
1.177930000E2,5.576739557E1
1.180750000E2,5.912472365E1
1.184660000E2,5.718213173E1
1.187710000E2,5.747081312E1
1.190170000E2,5.741742618E1
1.192690000E2,5.379557814E1
1.195330000E2,5.428733520E1
1.197780000E2,6.177329402E1
1.200450000E2,5.672333166E1
1.203170000E2,5.584947723E1
1.205670000E2,5.382665718E1
1.208400000E2,5.443690083E1
1.211280000E2,5.221565874E1
1.214800000E2,5.516249741E1
1.217540000E2,5.676279334E1
1.220050000E2,5.303796336E1
1.222680000E2,5.258840561E1
1.225120000E2,5.671935607E1
1.227660000E2,4.902892756E1
1.230240000E2,4.264962220E1
1.232830000E2,4.818154680E1
1.235340000E2,5.204058636E1
1.238430000E2,5.649936271E1
1.241410000E2,5.396154490E1
1.244200000E2,5.428877275E1
1.246760000E2,4.778715710E1
1.249500000E2,4.912370762E1
1.252110000E2,5.114426735E1
1.255020000E2,5.345096378E1
1.257410000E2,5.581149074E1
1.260430000E2,5.211774829E1
1.263320000E2,5.470047014E1
1.265660000E2,5.399085344E1
1.268600000E2,5.981732528E1
1.271210000E2,5.944116770E1
1.273530000E2,5.668281238E1
1.275970000E2,5.042419391E1
1.279080000E2,5.014554177E1
1.282260000E2,5.350461413E1
1.285240000E2,5.453533258E1
1.287780000E2,5.809919663E1
1.290280000E2,5.729580956E1
1.292980000E2,5.681749266E1
1.296010000E2,5.542882864E1
1.298980000E2,5.612046892E1
1.302070000E2,6.074750886E1
1.304620000E2,5.979349108E1
1.307520000E2,5.806574219E1
1.310590000E2,5.738881777E1
1.314010000E2,5.595280312E1
1.316630000E2,5.401154636E1
1.319120000E2,5.499471091E1
1.321620000E2,5.551354327E1
1.324640000E2,6.567912108E1
1.327650000E2,5.725129100E1
1.330150000E2,6.452906176E1
1.333160000E2,5.778565576E1
